ISO,year,country.name,region,Subscriptors.per100,GPDperCapita,years.with.network
LSO,2012,Lesotho,Sub-Saharan Africa,59.17089564021,2105.509,17
LBR,2012,Liberia,Sub-Saharan Africa,57.121372840767,657.685,13
LBY,2012,Libyan Arab Jamahiriya,Middle East and North Africa,155.76908609999,12686.405,16
LTU,2012,Lithuania,Former Soviet Republics,151.77934148814,21587.881,21
LUX,2012,Luxembourg,Wester Europe,145.35994684426,77499.186,28
MKD,2012,Macedonia,Eastern Europe,106.1686237726,10442.049,17
MDG,2012,Madagascar,Sub-Saharan Africa,39.05436746797,956.987,19
MWI,2012,Malawi,Sub-Saharan Africa,29.213836899081,848.435,18
MYS,2012,Malaysia,East Asia,141.32969620615,16862.339,27
MDV,2012,Maldives,South Asia,172.84136004416,8856.43,17
MLI,2012,Mali,Sub-Saharan Africa,98.379265270334,1101.737,17
MLT,2012,Malta,Middle East and North Africa,128.68238504623,26821.321,22
MRT,2012,Mauritania,Sub-Saharan Africa,111.06236031798,2097.895,13
MUS,2012,Mauritius,Sub-Saharan Africa,113.09153655457,15423.322,23
MEX,2012,Mexico,North America,83.350708265097,15343.579,25
MDA,2012,Moldova,Former Soviet Republics,115.93732897712,3381.159,18
MNG,2012,Mongolia,East Asia,120.69459363973,5297.711,17
MNE,2012,Montenegro,Eastern Europe,181.29680347652,11376.553,9
MAR,2012,Morocco,Middle East and North Africa,119.97221622868,5193.449,26
MOZ,2012,Mozambique,Sub-Saharan Africa,36.239086043765,1027.041,16
MMR,2012,Myanmar,East Asia,10.30355348157,1626.26,20
NAM,2012,Namibia,Sub-Saharan Africa,95.018130975886,7799.972,18
NPL,2012,Nepal,South Asia,59.619186269447,1456.833,14
NLD,2012,Netherlands,Wester Europe,117.52262802685,41527.487,28
NZL,2012,New Zealand,Australia and Oceania,110.36240664488,29608.777,26
NIC,2012,Nicaragua,Central America,89.774837453135,4351.668,20
NER,2012,Niger,Sub-Saharan Africa,32.416667312532,813.048,16
NGA,2012,Nigeria,Sub-Saharan Africa,66.798118049554,2697.079,20
NOR,2012,Norway,Wester Europe,115.54885190592,54343.385,32
OMN,2012,Oman,Middle East and North Africa,181.73291180519,28843.151,28
PAK,2012,Pakistan,South Asia,66.768811245097,3055.676,23
PAN,2012,Panama,Central America,178.02750506867,15467.54,17
PNG,2012,Papua New Guinea,Australia and Oceania,37.781836601716,2736.074,17
PRY,2012,Paraguay,South America,101.59019379992,6052.964,21
PER,2012,Peru,South America,98.000110044751,10595.902,23
PHL,2012,Philippines,East Asia,106.50754480835,4379.666,22
POL,2012,Poland,Eastern Europe,132.68230964303,20576.851,21
PRT,2012,Portugal,Wester Europe,116.10606910501,23058.583,24
QAT,2012,Qatar,Middle East and North Africa,126.85648573967,100888.647,23
ROU,2012,Romania,Eastern Europe,106.13667776395,12722.142,20
RUS,2012,Russian Federation,Former Soviet Republics,182.92127242915,17386.229,22
RWA,2012,Rwanda,Sub-Saharan Africa,50.486684186517,1473.475,15
KNA,2012,Saint Kitts and Nevis,Caribbean,156.76321289937,15418.485,17
LCA,2012,Saint Lucia,Caribbean,127.67584957873,12816.092,19
VCT,2012,Saint Vincent and the Grenadines,Caribbean,123.87426512942,11785.297,21
STP,2012,Sao Tome and Principe,Sub-Saharan Africa,70.980579248071,2121.032,11
SAU,2012,Saudi Arabia,Middle East and North Africa,184.67889349267,30464.505,23
SEN,2012,Senegal,Sub-Saharan Africa,83.568617591362,1908.441,19
SRB,2012,Serbia,Eastern Europe,117.84888342756,10835.006,9
SYC,2012,Seychelles,Sub-Saharan Africa,147.80320341351,25490.554,18
SLE,2012,Sierra Leone,Sub-Saharan Africa,36.073092900456,1333.14,13
SGP,2012,Singapore,East Asia,152.12518177485,62130.385,25
SVK,2012,Slovakia (Slovak Republic),Eastern Europe,111.20614590503,24042.252,22
SVN,2012,Slovenia,Eastern Europe,108.60606166124,27837.065,22
SLB,2012,Solomon Islands,Australia and Oceania,53.337534709902,3383.032,19
ZAF,2012,South Africa,Sub-Saharan Africa,134.79769850185,11032.996,24
KOR,2012,Korea,East Asia,109.43161418325,31949.859,27
ESP,2012,Spain,Wester Europe,108.36401751864,29670.354,27
